persona_key,tiempo_id,anio,mes,sector_id,condact_id,sexo,ciudad_id,nivel_instruccion,estado_civil,edad,ingreso_laboral,ingreso_per_capita,horas_trabajo_semana,desea_trabajar_mas,disponible_trabajar_mas
1,202505,2025,5,2,4,2,10150,3,1,67,200.0,100.0,20,4,0
2,202505,2025,5,0,9,1,10150,3,1,64,0.0,100.0,0,0,0
3,202505,2025,5,0,9,2,10150,3,6,78,0.0,110.0,0,0,0
4,202505,2025,5,2,2,1,10150,3,1,78,150.0,110.0,20,1,1
5,202505,2025,5,2,4,2,10150,3,1,68,90.0,110.0,15,4,0
6,202505,2025,5,0,9,1,10150,5,6,27,0.0,110.0,0,0,0
7,202505,2025,5,1,4,2,10150,4,1,49,5.0,196.0,10,4,0
8,202505,2025,5,1,1,1,10150,5,6,29,470.0,196.0,32,4,0
9,202505,2025,5,0,9,2,10150,5,6,23,0.0,196.0,0,0,0
10,202505,2025,5,0,0,2,10150,3,0,9,0.0,196.0,0,0,0
11,202505,2025,5,0,0,1,10150,3,0,7,0.0,196.0,0,0,0
12,202505,2025,5,0,9,2,10150,3,4,93,0.0,150.0,0,0,0
13,202505,2025,5,2,1,1,10150,3,1,60,500.0,297.0,40,4,0
14,202505,2025,5,2,4,2,10150,3,1,59,30.0,297.0,15,4,0
15,202505,2025,5,1,1,1,10150,4,6,38,660.0,297.0,40,4,0
16,202505,2025,5,0,7,1,10150,5,6,25,0.0,297.0,0,0,0
17,202505,2025,5,0,9,2,10150,1,4,78,0.0,132.0,0,0,0
18,202505,2025,5,0,9,2,10150,3,6,48,0.0,132.0,0,0,0
19,202505,2025,5,2,1,1,10150,4,6,23,470.0,132.0,40,4,0
20,202505,2025,5,0,0,1,10150,3,0,9,0.0,132.0,0,0,0
21,202505,2025,5,1,1,2,10150,3,4,56,715.0,405.0,32,4,0
22,202505,2025,5,0,9,1,10150,5,6,22,0.0,405.0,0,0,0
23,202505,2025,5,2,1,1,10150,4,6,21,500.0,405.0,32,4,0
24,202505,2025,5,0,9,1,10150,3,5,66,0.0,200.0,0,0,0
25,202505,2025,5,0,9,2,10150,3,5,55,0.0,200.0,0,0,0
26,202505,2025,5,2,2,2,10150,5,6,26,60.0,200.0,4,1,1
27,202505,2025,5,0,9,2,10150,5,6,24,0.0,200.0,0,0,0
28,202505,2025,5,1,1,1,10150,4,6,23,470.0,200.0,40,4,0
29,202505,2025,5,1,1,1,10150,4,1,63,500.0,240.0,32,4,0
30,202505,2025,5,2,1,2,10150,5,1,54,700.0,240.0,40,4,0
31,202505,2025,5,0,9,1,10150,3,6,15,0.0,240.0,0,0,0
32,202505,2025,5,0,0,2,10150,3,0,11,0.0,240.0,0,0,0
33,202505,2025,5,2,5,2,10150,5,6,34,0.0,240.0,40,4,0
34,202505,2025,5,1,1,2,10150,3,3,61,470.0,352.0,32,4,0
35,202505,2025,5,0,0,2,10150,3,0,11,0.0,352.0,0,0,0
36,202505,2025,5,1,1,1,10150,3,1,31,800.0,355.0,50,4,0
37,202505,2025,5,1,1,2,10150,5,1,31,470.0,355.0,40,4,0
38,202505,2025,5,0,0,2,10150,3,6,12,0.0,355.0,0,0,0
39,202505,2025,5,0,0,1,10150,0,0,1,0.0,355.0,0,0,0
40,202505,2025,5,0,9,2,10150,3,4,67,0.0,800.0,0,0,0
41,202505,2025,5,2,1,1,10150,5,6,55,622.0,622.0,50,4,0
42,202505,2025,5,1,1,1,10150,5,1,50,891.0,711.0,60,4,0
43,202505,2025,5,1,4,2,10150,4,1,51,235.0,711.0,20,4,0
44,202505,2025,5,1,1,1,10150,5,6,23,1008.0,711.0,32,4,0
45,202505,2025,5,1,2,1,10150,3,1,68,68.0,314.0,21,2,1
46,202505,2025,5,2,5,2,10150,3,1,64,0.0,314.0,35,4,0
47,202505,2025,5,2,1,1,10150,4,5,41,780.0,416.0,40,4,0
48,202505,2025,5,1,1,2,10150,5,5,37,470.0,416.0,40,4,0
49,202505,2025,5,0,9,1,10150,3,6,15,0.0,416.0,0,0,0
50,202505,2025,5,1,1,1,10150,5,1,55,2453.0,817.0,32,4,0
51,202505,2025,5,0,9,2,10150,5,1,46,0.0,817.0,0,0,0
52,202505,2025,5,0,0,2,10150,3,0,6,0.0,817.0,0,0,0
53,202505,2025,5,2,4,1,10150,5,5,26,0.0,874.0,40,4,0
54,202505,2025,5,1,1,2,10150,5,5,26,753.0,874.0,40,4,0
55,202505,2025,5,1,1,1,10150,5,1,52,800.0,420.0,48,4,0
56,202505,2025,5,2,1,2,10150,4,1,48,700.0,420.0,32,4,0
57,202505,2025,5,0,9,2,10150,5,6,21,0.0,420.0,0,0,0
58,202505,2025,5,0,9,2,10150,3,6,15,0.0,420.0,0,0,0
59,202505,2025,5,0,0,2,10150,3,6,13,0.0,420.0,0,0,0
60,202505,2025,5,2,4,1,10150,3,1,58,200.0,151.0,40,4,0
61,202505,2025,5,2,4,2,10150,3,1,58,15.0,151.0,7,4,0
62,202505,2025,5,0,4,1,10150,4,6,37,240.0,151.0,40,4,0
63,202505,2025,5,1,1,1,10150,4,1,38,1224.0,245.0,32,4,0
64,202505,2025,5,0,9,2,10150,3,1,44,0.0,245.0,0,0,0
65,202505,2025,5,0,9,2,10150,5,6,20,0.0,245.0,0,0,0
66,202505,2025,5,0,9,2,10150,4,6,19,0.0,245.0,0,0,0
67,202505,2025,5,0,9,1,10150,3,6,16,0.0,245.0,0,0,0
68,202505,2025,5,2,1,1,10150,5,1,42,580.0,391.0,50,4,0
69,202505,2025,5,1,1,2,10150,4,1,32,588.0,391.0,40,4,0
70,202505,2025,5,0,0,2,10150,3,0,10,0.0,391.0,0,0,0
71,202505,2025,5,1,1,1,10150,4,5,45,470.0,181.0,32,4,0
72,202505,2025,5,2,4,2,10150,3,5,40,250.0,181.0,20,4,0
73,202505,2025,5,0,9,1,10150,4,6,17,0.0,181.0,0,0,0
74,202505,2025,5,0,0,1,10150,0,0,1,0.0,181.0,0,0,0
75,202505,2025,5,0,9,1,10150,5,3,73,0.0,600.0,0,0,0
76,202505,2025,5,0,9,2,10150,3,4,78,0.0,173.0,0,0,0
77,202505,2025,5,1,4,2,10150,4,3,57,220.0,173.0,32,4,0
78,202505,2025,5,0,9,1,10150,4,6,24,0.0,173.0,0,0,0
79,202505,2025,5,2,4,1,10150,3,1,63,300.0,292.0,40,4,0
80,202505,2025,5,1,4,2,10150,4,1,59,249.0,292.0,20,4,0
81,202505,2025,5,1,1,2,10150,4,5,29,474.0,292.0,40,4,0
82,202505,2025,5,1,1,1,10150,4,5,29,478.0,292.0,40,4,0
83,202505,2025,5,0,0,1,10150,3,6,14,0.0,292.0,0,0,0
84,202505,2025,5,0,0,2,10150,0,0,4,0.0,292.0,0,0,0
